Date,death,gov
2018-11-14,2,Basrah
2018-11-16,1,Basrah
2018-11-27,1,Basrah
2018-11-28,1,Basrah
2018-12-07,1,Basrah
2018-12-12,1,Basrah
2018-12-16,4,Basrah
2018-12-20,1,Basrah
2018-12-21,1,Basrah
2017-01-02,12,Dahuk
2017-04-07,1,Dahuk
2017-05-03,1,Dahuk
2017-05-16,2,Dahuk
2017-05-28,2,Dahuk
2017-09-20,9,Dahuk
2017-11-03,3,Dahuk
2017-11-23,1,Dahuk
2017-12-28,1,Dahuk
2018-01-24,1,Dahuk
2018-03-07,1,Dahuk
2018-03-08,1,Dahuk
2018-03-15,1,Dahuk
2018-03-16,1,Dahuk
2018-03-17,3,Dahuk
2018-03-24,1,Dahuk
2018-04-07,14,Dahuk
2018-04-09,1,Dahuk
2018-04-14,3,Dahuk
2018-05-21,1,Dahuk
2018-06-11,2,Dahuk
2018-07-07,1,Dahuk
2018-07-22,2,Dahuk
2018-08-07,1,Dahuk
2018-10-17,1,Dahuk
2018-11-03,1,Dahuk
2018-11-15,1,Dahuk
2018-12-13,4,Dahuk
2017-01-02,1,Diyala
2017-01-07,4,Diyala
2017-01-12,2,Diyala
2017-01-13,9,Diyala
2017-01-14,3,Diyala
2017-01-17,2,Diyala
2017-01-21,7,Diyala
2017-01-22,12,Diyala
2017-01-25,5,Diyala
2017-01-27,9,Diyala
2017-01-29,3,Diyala
2017-01-31,2,Diyala
